Группа;Место;Балл, %;Широта;Долгота;Координаты для карт;Ближайший пункт;Тип пункта;До пункта, км;От границы Ташкента, км;Район;Население гекса, чел;Рынков 3км;Супермаркетов 3км;Из них сетевых;Банков 3км;Радиус поиска ЖК, км;Новостроек рядом;Квартир в них;Ввод жилья в районе, тыс. м²/год;Объявлений аренды 2км;Дешевейшее, $/мес;Зона Uzum;Признаков в оценке;Ссылка на карту
город Ташкент;44;74;41.238019;69.346493;41.238019, 69.346493;Бузаучи;село;1.0;0.0;Бектемирский район;4072;8;12;3;18;0.5;0;0;60.2;4;3500;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.238019,69.346493
город Ташкент;45;73;41.254507;69.378627;41.254507, 69.378627;Сувсоз-2 (Водник);махалля;0.4;0.0;Бектемирский район;10644;5;6;2;2;0.5;0;0;60.2;0;;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.254507,69.378627
город Ташкент;46;73;41.363189;69.330555;41.363189, 69.330555;Актепа махалля;махалля;0.8;0.0;Юнусабадский район;2006;5;19;6;13;0.5;0;0;139.7;5;1200;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.363189,69.330555
город Ташкент;47;73;41.271397;69.205177;41.271397, 69.205177;Наккашлык;махалля;0.5;0.0;Чиланзарский район;10663;9;53;18;49;0.5;0;0;28.3;22;600;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.271397,69.205177
город Ташкент;48;73;41.228062;69.330381;41.228062, 69.330381;Бектемир;район города;0.6;0.0;Бектемирский район;4317;6;7;2;18;0.5;0;0;60.2;4;100;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.228062,69.330381
город Ташкент;49;72;41.283152;69.217376;41.283152, 69.217376;Чиланзар-4;махалля;0.1;0.0;Чиланзарский район;8748;8;50;17;55;0.5;0;0;28.3;55;500;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.283152,69.217376
город Ташкент;50;72;41.368352;69.235661;41.368352, 69.235661;Каракамыш 1/4;махалля;0.5;0.0;Алмазарский район;2864;7;26;10;10;0.5;0;0;59.2;5;10;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.368352,69.235661
город Ташкент;51;72;41.270832;69.236792;41.270832, 69.236792;Дилбулак махалля;махалля;0.3;0.0;Яккасарайский район;11138;5;32;12;41;0.5;0;0;31.8;73;300;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.270832,69.236792
город Ташкент;52;71;41.379175;69.204287;41.379175, 69.204287;Нихол махалля;махалля;0.6;0.0;Алмазарский район;3783;3;11;5;7;0.5;0;0;59.2;4;6000;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.379175,69.204287
город Ташкент;53;70;41.277832;69.130234;41.277832, 69.130234;Дамачи;посёлок;1.1;0.0;Зангиатинский район;1699;10;7;3;8;0.5;0;0;184.9;0;;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.277832,69.130234
город Ташкент;54;69;41.259641;69.192984;41.259641, 69.192984;Яккабог махалля;махалля;0.2;0.0;Чиланзарский район;3046;8;41;14;34;0.5;0;0;28.3;8;600;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.259641,69.192984
город Ташкент;55;69;41.339372;69.412963;41.339372, 69.412963;Заковат;село;0.3;0.0;Яшнободский район;1782;3;8;5;4;0.5;0;0;141.0;1;8000;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.339372,69.412963
город Ташкент;56;68;41.387374;69.224328;41.387374, 69.224328;Ахил махалля;махалля;0.4;0.0;Алмазарский район;2535;3;7;2;7;0.5;0;0;59.2;2;;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.387374,69.224328
